informal,formal
من الان یکساله استفاده میکنم،دانشجوی رشته برق هستم و به جز ماتریس تقریبا ما بقی عملیات ها رو انجام میده,من الآن یک سال استفاده می‌کنم. من دانشجوی رشته برق هستم و به جز ماتریس، تقریباً سایر عملیات را انجام می‌دهم.
کم مصرف و مقاوم هست  نسبت به قیمت امکانات خوبی داره مناسب برای دانشجویان و دانش آموزان فقط یکم گنده هست,این محصول کم مصرف و مقاوم است و نسبت به قیمت، امکانات خوبی دارد. این محصول مناسب برای دانشجویان و دانش‌آموزان است. تنها یکم حجیم است.
من برای دوربین های شیاومی استفاده می کنم و باطریش تا 5 روز مداوم میره. واسه همسایمون هم یکی خریدم عالیه,من برای دوربین‌های شیائومی استفاده می‌کنم و باطری آن تا ۵ روز مداومت دارد. همچنین برای همسایه‌مان نیز یکی خریدم که عالی است.
بندش خیلی خاصه تا حالا از این بندا برای می بند ندیده بودم جدیده و خیلی با بند خودش فرق میکنه ممنون دیجی,بندش بسیار خاص است. تاکنون از این نوع بندها برای بستن ندیده بودم. این بند جدید است و با سایر بندها تفاوت دارد. از شما متشکرم، دیجی.
سلام . من خیلی وقت هست که از دیجیکالا خریدمش خیلی ازش راضی هستم پیشنهاد میکنم بخرید . ممنون از دیجیکالا,سلام. من خیلی وقت است که از دیجی‌کالا خرید کرده‌ام و بسیار از آن راضی هستم. پیشنهاد می‌کنم شما نیز خرید کنید. از دیجی‌کالا متشکرم.
متاسفانه بعد از یکسال استفاده سمت راننده شکست و از بین رفت.ضمن اینکه کفی صندلیهای عقب اصلا اندازه نیست.,متأسفانه پس از یک سال استفاده، سمت راننده خودرو شکست و از بین رفت. همچنین، اندازه کف صندلی‌های عقب به هیچ وجه مناسب نیست.
من خودم اینو با یه دما سنج و رطوبت سنج دارای سنسورsht11امتحان کردم تغریبا مثل هم بودن و خیلی ازش راضی ام,من خودم این را با یک دماسنج و رطوبت سنج دارای سنسور SHT11 امتحان کردم. تقریباً مشابه بودند و بسیار از آن راضی هستم.
این رکابی رو با شورت عینکی خریدم رنگ رکابیش کمرنگ تر از شورتشه ولی چون رنگ تیره داره شستو شوی راحتی داره,این رکابی را با شورت و عینک خریدم. رنگ رکابی آن کمرنگ‌تر از شورت است، اما به دلیل رنگ تیره‌ای که دارد، شستشوی آن راحت است.
واقعا من راضیم هم زیباس  هم خیلی جنس خوبی داره واقعا ارزندس بین هر جیب واقعا مقاومه.... در کل خیلی راضیم,واقعاً من راضی هستم. هم زیباست و هم خیلی جنس خوبی دارد. واقعاً ارزشمند است و بین هر جیبی قرار دارد. همچنین واقعاً مقاوم است. در کل، بسیار راضی هستم.
کیفیت و طراحی و رایحه های رضایت بخشی داره  حتما پیشنهاد میکنم که تهیه کنید و حتی میتونه هدیه ی خوبی باشه,کیفیت، طراحی و رایحه‌های این محصول بسیار رضایت‌بخش است. به شدت توصیه می‌کنم که آن را تهیه کنید و حتی می‌تواند به عنوان یک هدیه خوب مورد استفاده قرار بگیرد.
اصلا نمیشه به طوطی یاد داد باهاش بازی کنه. اگر میشه پس کاش طریقه آموزشش رو هم بذارن تو توضیحات کالا. تشکر,اصلاً نمی‌توان به طوطی یاد داد با آن بازی کند. اگر امکان دارد، لطفاً طریقه آموزش آن را نیز در توضیحات کالا قرار دهید. با تشکر.
من ۲ساله خریدم. اوایل هنگی داشت اما بعد ش روون شد.. اگه کیبورد ش براتون قابل تحمل ه خرید خوبی میتونه باشه,من دو سال است که خرید کرده‌ام. اوایل هنگ داشت، اما بعداً روان شد. اگر کیبوردش برای شما قابل تحمل است، خرید خوبی می‌تواند باشد.
من از تهران خریدمش و دیدم که هدفون اپل بهتر هست. اگر ایفون دارید بهتره که با این قیمت برید airpods بخرید.,من آن را از تهران خریدم و متوجه شدم که هدفون اپل بهتر است. اگر ایفون دارید، بهتر است با این قیمت به فروشگاه بروید و هدفون های AirPods را بخرید.
لامپ های خیلی خوبی هستن.در شگفت انگیز خریدم و انتظار چنین محصول پر نوری رو نداشتم.جالب اینه که ایرانی هست.,لامپ‌های بسیار عالی هستند. آن‌ها را به شگفتی خریدم و انتظار چنین محصول پرنوری را نداشتم. جالب این است که این لامپ‌ها ایرانی هستند.
قیمتش خوبه ولی باز کمتر هم میشد باحال تر میشد تاحالا 6 ماهی میشه خریدیم وازش استفاده میشه مشکلی پیش نیومده,قیمت آن مناسب است، اما باز هم می‌توانست بهتر و جذاب‌تر باشد. تاکنون شش ماه است که آن را خریداری کرده‌ایم و بدون هیچ مشکلی از آن استفاده کرده‌ایم.
سلام ،دوستان من کارواشو سه چهار ماهه خریدم کاملا راضیم  کارواشه خوبیه قدرتشه زیاده فقط صداش یه خورده زیاده,سلام، دوستان من کارواش را سه چهار ماه پیش خریدم و کاملاً راضی هستم. کارواش خوبی است و قدرت آن زیاد است، فقط صدای آن یکمی بیش از حد است.
نسبت به قیمت نمیشه گفت تیشرت بدیه اما من یه تیشرت کوتون تو همین بازه قیمتی خریده بودم کیفیت خیلی خوبی داشت,نسبت به قیمت نمی‌توان گفت که تیشرت بدی است، اما من یک تیشرت کتان را در همین بازه قیمتی خریده بودم که کیفیت بسیار خوبی داشت.
این عطر فوق العاده هست و واقعا شما رو شگفت زده میکنه و از خریدش پشیمون نمیشین و این محصول شاهکار کلایو هست,این عطر بسیار عالی است و واقعاً شما را متحیر می‌کند و از خرید آن پشیمان نخواهید شد و این محصول شاهکار کلایو است.
من کلا سه نوع آدامس نعنایی میموذم و بهترینشون اینه.خیلی طعم خوبی داره فک نکنم وافعا ویتیمین دی داشته باشه.,من به طور کلی سه نوع آدامس نعنایی می‌مصرفم و بهترین آن‌ها این است. این آدامس طعم بسیار خوبی دارد و فکر نمی‌کنم واقعاً ویتامین دی داشته باشد.
بسیار زیباست توصیه میکنم بخرید چون با قلم زنی اشتباه گرفته میشه مثل قلم زنی بخاطر همین ارزششو بالاتر میبره,بسیار زیباست. توصیه می‌کنم آن را خریداری کنید، زیرا با قلم‌زنی آن اشتباه گرفته می‌شود. مانند قلم‌زنی، به همین دلیل ارزش آن بالاتر می‌رود.
۲۲ بهمن سال ۹۵ خریدمش، زیاد هم ازش کار کشیدم بالاخره در تاریخ یکم شهریور ۹۷ باطریش باد کرد و از نفس افتاد.,۲۲ بهمن سال ۹۵ آن را خریدم، زیاد هم از آن کار کشیدم. بالاخره در تاریخ یکم شهریور ۹۷ باطری آن را باد کرد و از نفس افتاد.
بعد از گذشت 3سال و 60000کیلومتر کارکرد روی ماشینم که سمند موتور معمولی است دقیقا مثل روز اول کارایی دارد..,بعد از گذشت سه سال و شصت هزار کیلومتر از کارکرد روی خودروی من، که یک سمند با موتور معمولی است، همچنان همانند روز اول عملکرد خوبی دارد.
چراغ قوه خیلی خوبی هست. نور خیلی قوی و زیادی داره. ظرفیت باطریش عالیه. خلاصه بهترین چراغ قوه ای بود که دیدم,چراغ قوه‌ای که دیدم، بسیار عالی است. نور آن بسیار قوی و فراوان است. ظرفیت باطری آن نیز عالی است. به طور خلاصه، این بهترین چراغ قوه‌ای است که تاکنون دیده‌ام.
اگر میخواهید یک هنزفری خوب با کیفیت چه از لحاظ صدا چه از لحاظ مقاومت داشته باشید این محصول رو پیشنهاد میکنم,اگر می‌خواهید یک هدفون خوب با کیفیت، هم از لحاظ صدا و هم از لحاظ مقاومت، داشته باشید، این محصول را پیشنهاد می‌کنم.
من برای یخچال دوو خریدم به راحتی نصب شد اما باید اولش چند لیتر آب ازش دور بریزید تا رنگ آب از تیرگی در بیاد,من برای یخچال دوو خریدم و به راحتی نصب شد. اما باید ابتدا چند لیتر آب را از آن خارج کنید تا رنگ آب از تیرگی خارج شود.
توجه داشته باشید جهت نصب روی دیوار مناسب نمی باشد به این دلیل که پیچ های باز و بست آن در پشت قرار گرفته است,توجه داشته باشید که جهت نصب روی دیوار مناسب نمی‌باشد. این امر به دلیل قرار گرفتن پیچ‌های باز و بست در پشت آن است.
در کل خوبه .منوش کره ایه ولی اشکالش باعث میشه بفهمی چی به چیه و گالری و تنظیمات کجاست . تنظیم خاصی نداره ام,در کل خوب است. منوی کره ای دارد، اما اشکال آن باعث می‌شود بفهمید چی به چی است و گالری و تنظیمات کجا قرار دارند. تنظیم خاصی ندارد.
درکل به خانواده ها پیشنهاد این پک رو میکنم فیلمهای قدیمی هم دربچه گی درسینما دیدم رو داخل این پک جالبه داره,در کل، به خانواده‌ها پیشنهاد می‌دهم این پک را بخرید. فیلم‌های قدیمی که در بچگیم در سینما دیدم، هم در این پک جالب هستند و ارزش دارند.
این هدفون همه جای دنیا ریت هاش از 5 دیگه کن کم 4 هست! چرا در دی جی کالا اینقدر امتیاز پایینی داره من موندم!,این هدفون در سراسر جهان امتیازهای آن از ۵ به پایین است، حتی کمتر از ۴. من تعجب می‌کنم که چرا در دی جی کالا امتیاز آن به این اندازه پایین است.
سایز کوچکی داره و کیفیت ساخت هم یک‌مقدار ضعیفه و قیمتش یکم براش زیاده ولی زیباست و خوش‌دسته بنده که راضی‌ام.,سایز کوچکی دارد و کیفیت ساخت آن نیز کمی ضعیف است. قیمت آن نیز برای آن یکم بالاست. اما زیباست و در استفاده نیز راحت است. من راضی هستم.
نخرید ارزش خرید نداره من که گول ظاهرش رو خوردم افتضاح بعد از مدت کوتاهی مجبور میشید ظرف بزرگش رو دور بندازید,نخریدن ارزش خرید ندارد. من که گول ظاهر آن را خوردم، افتضاح است. بعد از مدت کوتاهی، مجبور خواهید شد ظرف بزرگ آن را دور بیندازید.
من 4 ساله این ساعتو دارم و خیلی ازش راضیم ولی بدیش اینکه سریع شارژش تموم می شه  اگه اینجوری  نبود بهترین بود,من ۴ سال است که این ساعت را دارم و بسیار راضی هستم، اما نقطه ضعف آن این است که شارژ آن به سرعت تمام می‌شود. اگر این مشکل وجود نداشت، بهترین می‌بود.
بعد از یک سال و نیم سوخت!! من مودم تی پی لینک قدیمی داشتم، ۶سال واسم کار کرد ولی این بعد از یکسال و نیم سوخت,بعد از یک سال و نیم، مودم تی پی لینک قدیمی من سوخت! این مودم برای من شش سال کار کرده بود، اما حالا پس از یک سال و نیم خراب شده است.
من ازین چاقو ۲تا خریدم.هر ۲تاش چاقو در حالت باز خوب قفل نمیشه و در میره.اگه این مشکل را نداشت چاقوی خوبی بود,من از این چاقو دو تا خریدم. هر دو تاش چاقو در حالت باز به خوبی قفل نمی‌شود و در می‌رود. اگر این مشکل را نداشت، چاقوی خوبی بود.
بسته بندی آسیب دیده وباز شده بود و با چسب پهن با بد سلیقگی تمام بسته شده بود  چادر هم پر بود از سوراخهای ریز,بسته‌بندی آسیب‌دیده و باز شده بود و با چسب پهن با سلیقه‌ی ناپسند تمام شده بود. همچنین چادر نیز پر از سوراخ‌های ریز بود.
من یکی خریدم ۲ سال پیش. بسیار کاربردی و عالی. لطفا موجود کنید برای خرید دومی. ممنون از سایت خوب دیجی کالا...,من یکی را دو سال پیش خریدم. آن بسیار کاربردی و عالی است. لطفاً آن را برای خرید دومی موجود کنید. از سایت خوب دیجی کالا متشکرم.
بسیار عالی مدرن و امروزی بی نقص و زیبا با کمترین هزینه گوشی بخرید که تا مدت ها فقط از نگاه کردن بهش لذت ببرید,بسیار عالی، مدرن و امروزی، بی نقص و زیبا، با کمترین هزینه، گوشی را خریداری کنید تا بتوانید برای مدت ها فقط از نگاه کردن به آن لذت ببرید.
خدمات پس از فروش خیلی خوب.چن بار زنگ زدن و پیگیر رفع مشکل دوربین شدن و دست اخر هم کارمون را افتاد.واقعا عالیه,خدمات پس از فروش بسیار عالی بود. چند بار با ما تماس گرفتند و پیگیری رفع مشکل دوربین صورت گرفت و در نهایت کار ما به خوبی انجام شد. واقعاً عالی است.
من رنگ آبی این هایلایتر رو خریداری کردم خیلی رنگش خوبه پس نمیده ولی نوکش خیلی کلفته مثل بقیه هایلایتر ها نیست,من هایلایتر رنگ آبی را خریداری کردم. رنگ آن بسیار خوب است و پر رنگ است. اما نوک آن بسیار ضخیم است و مانند سایر هایلایترها نیست.
من این گوشی رو از بیرون گرفتم یک ماه دارم همه جور امتحانش کردم  درکل خوبه با اثر انگشت اگه 3gرم داشت بهتر بود,من این گوشی را از بیرون تهیه کردم و یک ماه است که همه جوانب آن را بررسی کرده‌ام. به طور کلی، عملکرد آن خوب است. اگر این گوشی دارای قابلیت ۳جی بود، بهتر بود.
جنسش ضعیفه از فاصله کم افتاد خورد شد پاشا باغچه خوبه ولی این محصولش جالب نیست یکم.هزینه کنید کازابلانکا بگیرد,جنس آن ضعیف است. از فاصله کم افتاد و خراب شد. پاشا باغچه خوبی دارد، اما این محصولش جالب نیست. لطفاً هزینه کنید و یک کازابلانکا بخرید.
در یک کلام عالی.من این پاور بانک رو نزدیک 8 ماه دارم وبرای من دقیقا همین مدل ارسال شد .واقعا عالیه وحرف نداره.,در یک کلام عالی. من این پاور بانک را نزدیک ۸ ماه استفاده می‌کنم و برای من دقیقا همین مدل ارسال شد. واقعاً عالی است و حرفی برای گفتن ندارد.
برای ضبط تصویر شبکه های دیجیتال کشور رو نیوزیلند انتخاب کنید حداقل هم فلش 64 گیگ به پشت تلویزیون وصل کنید تمام,برای ضبط تصویر، شبکه‌های دیجیتال کشور رو نیوزیلند را انتخاب نمایید. حداقل یک فلش ۶۴ گیگابایت را به پشت تلویزیون وصل نمایید. تمام.
این ظرف گرفتم واسه اینکه میکس میوه های تابستانی رو میریزم داخلش و مثل بستنی میوه ای میشه که خیلی هم خوشمزه است,این ظرف را برداشت کردم تا میوه‌های تابستانی را در آن بریزم و میوه‌ی مخلوط شده‌ای مانند بستنی تهیه کنم که بسیار لذیذ است.
زیباست، قیمت عالی ای داره، کیفیت عالی به همچنین. آپدیت: من یک دونه دیگه خریدم. بسیار موس پد راضی کننده ای بود.,زیباست. قیمت عالی دارد و کیفیت نیز بسیار بالاست. آپدیت: من یک دونه دیگر خریداری کردم. موس پد بسیار رضایت بخش بود.
احتمالا پلاستیک بیرونی فاسد شده یا تحت تاثیر عوامل بیرونی کیفیت خودش رو از دست داده و روز اول، هردو پاره شدند.,احتمالاً پلاستیک بیرونی فاسد شده یا تحت تأثیر عوامل بیرونی کیفیت خود را از دست داده و در روز اول، هر دو پاره شدند.
من این پرینتر رو پارسال از دیجیکالا سفارش دادم تا الان که استفاده میکنم خیلی راضی ام حتما پیشنهاد میکنم بگیرید,من این پرینتر را پارسال از دیجیکالا سفارش دادم. تاکنون که استفاده می‌کنم، بسیار راضی هستم. حتماً پیشنهاد می‌دهم آن را تهیه کنید.
دلیل استفاده از صندلی خودرو حفظ امنیت کودک  در هنگام تصادف و ترمز های ناگهانی است چیزی که این صندلی اصلا نداره,دلیل استفاده از صندلی خودرو، حفظ امنیت کودک در هنگام تصادف و ترمزهای ناگهانی است که این صندلی به طور کامل فاقد آن است.
درکل خوبه وشیک فقط نگران نازکی شیشه اش هستم تاحالا که 6 ماه میشه خریدم اتفاقی نیفتاده براش همه چیز سرجاش بوده:),در کل خوب است و شیک است. فقط نگران نازکی شیشه آن هستم. تا حالا که شش ماه می‌شود خریدم، اتفاقی برای آن نیفتاده است و همه چیز در جای خود قرار دارد.
خیلی کیف جادار و خوبیه من ازش راضیم فقط مراقبت میخواد که کثیف نشه بخاطر رنگ روشنش.البته من تو فروش ویژه خریدمش.,خیلی کیف جادار و خوب است. من از آن راضی هستم. فقط نیاز به مراقبت دارد تا کثیف نشود به دلیل رنگ روشن آن. البته من آن را در فروش ویژه خریداری کردم.
خیلی پوست نرم و خنک میکنه اما اصلا روشن کننده نیست برای روشن کردن پوست از ماسک های دیگه استفاده کنین خیلی بهتره,خیلی پوست نرم و خنک می‌کند، اما اصلاً روشن کننده نیست. برای روشن کردن پوست، از ماسک‌های دیگر استفاده کنید؛ این روش بهتر است.
کیفیتش متوسطه یکم دیر شارژ میکنه ، راضی نیستم ازش با اینکه ارزون گرفتم تو شگفت انگیز ولی انتظارم بیشتر ازین بود,کیفیت آن متوسط است و یکم دیر شارژ می‌شود. از آن راضی نیستم، با اینکه آن را با قیمت ارزان خریدم. اما انتظارم بیشتر از آن بوده است.
عالیه من این محصول رو تو پیشنهاد شگفت انگیز خریدم واقعا ازش راضی هستم نسبت به ظرفیتش کاملا سبک و خوش دست میباشد,عالی است. من این محصول را در پیشنهاد شگفت انگیز خریدم واقعاً از آن راضی هستم. نسبت به ظرفیت آن، کاملاً سبک و خوش دست است.
حتما یه امتحان کنیدش چون شرکتش که شیامی هست و همه هم میدونیم که با این که چین میزنه اما ارزش خرید رو واقعا داره,حتماً آن را امتحان کنید زیرا شرکتی که آن را تولید می‌کند شیائومی است و همه ما می‌دانیم که اگرچه از چین تولید می‌شود، اما واقعاً ارزش خرید آن را دارد.
کمیاببودت قطعات مصرفی مانند کاتریج و... البته اگه پیدا کنید اورجینالش گرونه در صمن بعضی وقتا در پرینت معطل میکن,کمیاب بودنتان قطعات مصرفی مانند کارتریج و... البته اگر پیدا کنید، اورجینال آنها گرون است. بعضی وقت‌ها در پرینتر مشکل ایجاد می‌کند.
این محصول واقعا کارآمد هست چون اطلاعات فیزیکی بدن را تحلیل و ارائه می دهد. استفاده از این محصول بسیار ساده هست.,این محصول واقعاً کارآمد است زیرا اطلاعات فیزیکی بدن را تحلیل و ارائه می‌دهد. استفاده از این محصول بسیار آسان است.
یه کرم پودر کاملا معمولی واسه استفاده روزمره.پوشش دهی اصلا نداره.فقط اینکه به پوست آسیب نمیزنه و خیلی خیلی سبکه,یک کرم پودر کاملاً معمولی برای استفاده روزانه است. پوشش آن به هیچ وجه وجود ندارد. تنها اینکه به پوست آسیب نمی‌رساند و بسیار سبک است.
به نظر منم مثل نطر خیلی دوستان جای سوکتش یه کم سخت میره  من عکس و فیلم های کوتاه خانوادگی ریختم فعلا که بد نبود,به نظر من هم، مانند نظر بسیاری از دوستان، جای سوکت آن یکم سخت است. من عکس و فیلم‌های کوتاه خانوادگی ریختم و در حال حاضر خوب بود.
این آینه برای کسانی که فکر میکنند آینه هست به درد نمیخوره،پلکسی کاملا بی کیفیت و کاملا تاره،اصلا پیشنهاد نمیکنم,این آینه برای افرادی که فکر می‌کنند آینه است به درد نمی‌خورد. پلکسی کاملاً بی‌کیفیت و کاملاً تار است. به هیچ وجه پیشنهاد نمی‌شود.
فوق العاده مناسب برای استفاده روزانه. بدون هنگ کار میکنه و حدود یک و نیم روز استفاده سنگین شارژ داره. عالیه عالی,فوق العاده مناسب برای استفاده روزانه است. بدون هنگ کار می‌کند و حدود یک و نیم روز استفاده سنگین شارژ دارد. عالی است.
گوشی خوبیه ولی لرزشگیر نداره یه کم مشکل میشه برای عکس گرفتن باطری خوب و مقاومی داره سرعت گوشی خوبه پشتیبانی عالی,گوشی خوبی است، اما لرزشگیر ندارد. برای عکس‌برداری ممکن است کمی مشکل ایجاد شود. باطری آن خوب و مقاوم است و سرعت گوشی نیز مناسب است. همچنین، پشتیبانی آن عالی است.
من اینو پارسال تو تخفیف گرفتم 38هزار تومن، نسبت به قیمتش خوبه، اصلاحشم عالیه، فقط ایراد بزرگش کم شارژ نگر میداره,من این را پارسال در تخفیف خریدم. قیمت آن ۳۸ هزار تومان بود. نسبت به قیمت آن، خوب است. اصلاح آن هم عالی است. فقط ایراد بزرگ آن این است که کم شارژ می‌گیرد.
شارژ فندکی زیاد داشتم ولی این مدل واقعا عالیه هر وقت به گوشیم وصل میکنم سریع شارژمیکنه در کل خیلی کار راه اندازه,شارژ فندکی زیادی داشتم، اما این مدل واقعاً عالی است. هر وقت به گوشیم وصل می‌کنم، سریع شارژ می‌شود. در کل، این کار راه‌اندازی بسیار خوبی است.
اصلا خوب نیست من خریدم.بعد از چند روز عوضش کردم رفتم گلس خریدم مقاومتش خوب نبود وبا گارد چسبندگی طرافش در میومد.,اصلاً خوب نیست. من آن را خریدم و بعد از چند روز آن را تعویض کردم. رفتم و گلس خریدم، اما مقاومت آن خوب نبود و با گارد چسبندگی اطرافش در می‌آمد.
بنظرم برند جی بی ال نیازبه تعریف نداره  اگه یه هدست خوب با کیفیت خوش صدا بادوام میخوای شک نکن  سیمشم گره نمیخوره,به نظر من برند جی بی ال نیاز به تعریف ندارد. اگر میخواهید یک هدست خوب با کیفیت و صدای خوش بدوام داشته باشید، بدون شک این برند را انتخاب کنید. همچنین سیم آن نیز گره نمی‌خورد.
عالی بود وقتی خودم خوب شدم به همه معرفی کردم خیلی خوب بود خوشحالم که تونستم با این شونه موهای خیلی ها رو برگردونم,عالی بود که وقتی خودم بهبود یافتم، همه را به شما معرفی کردم. بسیار خوب بود و خوشحالم که توانستم با این شانه موهای بسیاری را به حالت قبل برگردانم.
کیفیت مناسبی داره فقط یکم موقع جا انداختن سخت جا میره و البته من رنگ گلبهی رو گرفتم ولی بیشتر صورتی بود تا گلبهی.,کیفیت آن مناسب است، فقط در هنگام قرار دادن آن در جایی، کمی سخت می‌رود. همچنین، من رنگ صورتی را دریافت کردم، اما بیشتر شبیه صورتی بود تا گلبهی.
بوی تندی داره ولی ماندگاریش خیلی پایینه برای کسایی با بوهای تند سر درد میگیرن اصلا مناسب نیست ولی رایحه خوبی داره,بویی تند دارد، اما ماندگاری آن بسیار پایین است. برای افرادی که حساسیت به بوهای تند دارند، سردرد ایجاد می‌کند و به هیچ وجه مناسب نیست. اما رایحه‌ای خوب دارد.
بسیار کاربردیست و با توجه به طراحی خاص ظرف محصول که انجام کار را آسان میکند ،باید گفت محصول عالی است از تمام لحاظ,بسیار کاربردی است و با توجه به طراحی خاص ظرف محصول که انجام کار را آسان می‌کند، باید گفت که محصول عالی است از تمام لحاظ.
دارای چهار مرحله روشنایی و قابلیت انعطاف. من که راضی ام چندتا هم خریدم به جای چراغ مطالعه ازش استفاده میکنم عالیه,دارای چهار مرحله روشنایی و قابلیت انعطاف است. من که راضی هستم و چندتا آن را خریدم، به جای چراغ مطالعه از آن استفاده می‌کنم. عالی است.
به دوستان عزیز توصیه میکنم  اصلا گلس نانو نخرند.گلس شیشه ای خیلی بهتره. دیجی جون خواهش میکنم نظر منو بذار.با تشکر,به دوستان عزیز توصیه می‌کنم که اصلاً گلس نانو نخرند. گلس شیشه‌ای خیلی بهتر است. دیجی جان خواهش می‌کنم نظر من را بذارید. با تشکر
اگر کاور روی گوشیتون باشه دورش هوا میگیره.و جالبه که کاور رو در بیاری بعد از چند روز هوا میره ودرست میشه.قدرت خدا,اگر کاور روی گوشی شما باشد، دور آن هوا می‌گیرد. و جالب است که کاور را در بیاورید، بعد از چند روز هوا می‌رود و درست می‌شود. قدرت خداوند.
من نمیدونم چرا میگید صداش زیاده. به نظرم صداش کاملا طبیعیه و زیاد نیست. پرینتش خوبه اما کپیش ضعیفه. اسکنش هم خوبه,من نمی‌دانم چرا شما می‌گویید صدای او زیاد است. به نظرم صدای او کاملاً طبیعی است و زیاد نیست. پرینت او خوب است، اما کپی او ضعیف است. اسکن او هم خوب است.
تبلیغات خوبی براش شده و من تهیه کردم ، لرزشگیر خیلی خوبیه ، اگر موبایل خوبی دارید ، میتونید فیلم های بهتری بگیرید.,تبلیغات خوبی برای آن صورت گرفته و من آن را تهیه کردم. لرزشگیر بسیار خوبی است و اگر موبایلی خوب دارید، می‌توانید فیلم‌های بهتری بگیرید.
واقعا دستمال خوبی هست برای کارواش بدون آب هم پاک کنندگی خیلی خوبی داره هم خش نمیندازه برای واکس زدن ماشین هم عالیه,واقعاً دستمال خوبی برای کارواش است. بدون نیاز به آب، پاک کنندگی بسیار خوبی دارد و همچنین خش نمی‌اندازد. برای واکس زدن ماشین نیز عالی است.
من این محصول رو قبل خرید کردم اولیل عالی بود ولی بعد ۶ماه شارژ بی کیفیتی داشت و گوشی موبایل داغ میکرد انداختمش دور,من این محصول را قبل از خرید آن را خریداری کردم. در ابتدا کیفیت آن عالی بود، اما پس از ۶ ماه استفاده، شارژ آن بی کیفیت شد و گوشی موبایل داغ می‌شد. بنابراین، آن را دور انداختم.
من از این مدل پنکه لرزونترشو هم گرفتم و با این هیچ فرقی نداره.لرزش ایجاد شده بابت پرهاشو داره باز کیفیتش جالب نیست,من از این مدل پنکه لرزان‌ترش را هم خریدم و با این هیچ تفاوتی ندارد. لرزشی که به دلیل پره‌های آن ایجاد می‌شود، کیفیت آن را جالب نمی‌کند.
خیلی ظریف و شکننده اس...من خیلی آروم باهاشون کار کردم باز نمیدونم چجور لب پر میشن.فقط تو شگفت انگیز ارزش خرید دارن,خیلی ظریف و شکننده است. من بسیار آرام با آنها کار کردم، اما باز هم نمی‌دانم چگونه لب‌هایم پر می‌شوند. فقط در شگفت‌انگیز ارزش خرید دارند.
برای دختر سه ساله من که خیلی خوب بود. آموزش، کیفیت ساخت، نوآوری در حد کاملا عالی هست و قیمت اون هم به نسبت مناسبه.,برای دختر سه ساله من که بسیار خوب بود، آموزش، کیفیت ساخت و نوآوری در حد کاملا عالی هستند و قیمت آن هم به نسبت مناسب است.
نسبت به قیمتش و در مقایسه با محصولات هم قیمت خودش این عالیع اگه کسی از بوی این عطر خوشش بیاد دیگه هیچ ایرادی نداره,نسبت به قیمت آن و در مقایسه با محصولات هم قیمت خود، این عطر عالی است. اگر کسی از بوی این عطر خوشش بیاید، دیگر هیچ ایرادی ندارد.
دوستانی که نسخه ۱۶ گیگابایت دارن درجریان باشن ۲۹ آبان اپدیت اندروید ۸ اومده میتونن با حجم تقریبی 1029 mb آپدیت کنن,دوستانی که نسخه ۱۶ گیگابایت دارند، در جریان باشند. در تاریخ ۲۹ آبان، آپدیت اندروید ۸ منتشر شده است. آنها می‌توانند با حجم تقریبی ۱۰۲۹ مگابایت آپدیت را انجام دهند.
دوستانی که نسخه ۱۶ گیگابایت دارن درجریان باشن ۲۹ آبان اپدیت اندروید ۸ اومده میتونن با حجم تقریبی 1029 mb آپدیت کنن,دوستانی که نسخه ۱۶ گیگابایت دارند، در جریان باشند. در تاریخ ۲۹ آبان، آپدیت اندروید ۸ منتشر شده است. آنها می‌توانند با حجم تقریبی ۱۰۲۹ مگابایت آپدیت را انجام دهند.
موس خوبیه و اوایل مشکلی نداشت ولی بعد از چهار ماه استفاده دیگه اسکرولش کار نمیکنه و درست حرکت نمیکنه و بازیگوش ده.,موس خوبی است و در ابتدا مشکلی نداشت، اما پس از چهار ماه استفاده، اسکرول آن کار نمی‌کند و حرکت صحیحی ندارد و بازیگوش می‌دهد.
من شارزر  زیاد میگیرم این جز خوباست که من میگیرم واقعا هم سخته شارزر خوب پیدا کردن 6 ماهه دارمش داره هنوز کار میکنه,من شارژر زیادی می‌خرم. این یکی از مزایای خوبی است که من می‌خرم. واقعاً هم سخت است شارژر خوبی پیدا کردن. شش ماه است که از آن استفاده می‌کنم و هنوز هم کار می‌کند.
تو یه هفته ای که امتحان کردم گیرندگیش عالی بوده از داخل طبقه دوم هم میگیره فقط از اول اهن انتن یه مقدار کج شده بود.,در طی یک هفته ای که امتحان کردم، عملکرد آن بسیار عالی بود. او از طبقه دوم نیز سیگنال دریافت می‌کند، با این تفاوت که از ابتدای آنتن آهنی کمی خم شده بود.
به نظرم نسبت به نمونه های مشابه کیفیت بهتری داره و قیمتش هم مناسبتره..سه تا سری داره که میتونه ماساژور صورت هم باشه,به نظرم کیفیت آن برتر از نمونه های مشابه است و قیمت آن نیز مناسبتر است. همچنین، این محصول سه سری دارد که می‌تواند علاوه بر ماساژور برای صورت نیز استفاده شود.
اقای عزیز این گرافیک gddr5 هست و msi این رو ضعیف نساخته در کل بازیای جدیدو با کیفیت medium یا low و فول اچ دی میاره,جناب عزیز، این گرافیک از نوع GDDR5 است و شرکت MSI آن را به صورت ضعیف تولید نکرده است. به طور کلی، این گرافیک بازی‌های جدید را با کیفیت متوسط یا پایین و با رزولوشن Full HD ارائه می‌دهد.
